策略,MAPE,R2,预测均值偏差
原始目标,3.9216694619353993,0.8108909894783731,-3923.414428374672
原始目标 + Bias校正,3.9579282332163133,0.805062397502186,-5114.664428374672
差分目标,3.043692985429423,0.880356486012599,55.022938531292695
