model,MAPE_mean,MAPE_std,R2_mean,R2_std
Linear Regression,2.4209567728711567,0.12886441528207473,0.9390935819110504,0.006321331256803533
BiLSTM,3.1673239683934344,0.1500043211091748,0.8807104962328844,0.01667094031447333
BiGRU,3.0749170994543102,0.12233433109957366,0.8870751103315182,0.011842884292501007
CNN-LSTM,3.042617523073127,0.09844305478028056,0.8885347199969473,0.017448402582038926
