model,RMSE,MAE,MAPE,R2
Persistence (昨天=今天),24371.16215963078,18797.198347107438,5.322367466312149,0.6784598892232556
Seasonal Naive (上周同日),42020.90018811871,32476.765840220385,9.031047132435548,0.04409797444082064
Linear Regression (差分),10630.546062341567,8344.730953984183,2.376122523844568,0.9388222042019458
