date,truth,lstm_pred
2016-08-07,356181.0,364675.79296875
2016-08-08,390745.0,388890.720703125
2016-08-09,416957.0,402602.021484375
2016-08-10,431561.0,423033.138671875
2016-08-11,451348.0,433914.3815917969
2016-08-12,453654.0,444621.0185546875
2016-08-13,415169.0,414940.0
2016-08-14,374473.0,380755.28515625
2016-08-15,399877.0,395203.501953125
2016-08-16,409158.0,412353.369140625
2016-08-17,399285.0,404224.1328125
2016-08-18,403068.0,404346.94873046875
2016-08-19,402047.0,407563.61669921875
2016-08-20,368283.0,385573.03125
2016-08-21,339465.0,349620.515625
2016-08-22,357764.0,359730.443359375
2016-08-23,365061.0,370796.5185546875
2016-08-24,376490.0,378196.3193359375
2016-08-25,429018.0,383519.63623046875
2016-08-26,431482.0,420684.4853515625
2016-08-27,397055.0,393926.39453125
2016-08-28,388932.0,384056.3974609375
2016-08-29,420985.0,416215.0546875
2016-08-30,413518.0,426741.4853515625
2016-08-31,406980.0,415985.0764160156
2016-09-01,370700.0,407814.3643798828
2016-09-02,340165.0,347540.1640625
2016-09-03,305640.0,302785.01171875
2016-09-04,306428.0,295100.806640625
2016-09-05,331832.0,338965.91015625
2016-09-06,404384.0,377496.55859375
2016-09-07,431090.0,415352.36328125
2016-09-08,431329.0,418757.64453125
2016-09-09,409511.0,393318.66796875
2016-09-10,378551.0,362034.44921875
2016-09-11,322234.0,348944.703125
2016-09-12,351463.0,335322.1982421875
2016-09-13,367593.0,361982.3994140625
2016-09-14,364287.0,368099.5267944336
2016-09-15,349713.0,363625.8410644531
2016-09-16,358850.0,342082.326171875
2016-09-17,344431.0,341669.083984375
2016-09-18,329967.0,331119.375
2016-09-19,372759.0,363036.51171875
2016-09-20,375647.0,382969.98828125
2016-09-21,372387.0,376983.0302734375
2016-09-22,378656.0,375093.0563964844
2016-09-23,383382.0,371931.275390625
2016-09-24,338878.0,353212.869140625
2016-09-25,317374.0,321339.078125
2016-09-26,334557.0,349970.318359375
2016-09-27,324120.0,338227.2468261719
2016-09-28,319659.0,326122.2282714844
2016-09-29,318712.0,321572.2618408203
2016-09-30,313591.0,314050.75244140625
2016-10-01,282452.0,290668.916015625
2016-10-02,270336.0,280505.8153076172
2016-10-03,310866.0,307288.0
2016-10-04,321058.0,319769.421875
2016-10-05,326218.0,323742.1306152344
2016-10-06,331856.0,328589.1286621094
2016-10-07,325892.0,323235.3837890625
2016-10-08,283893.0,296919.423828125
2016-10-09,271418.0,275433.4990234375
2016-10-10,311872.0,316698.171875
2016-10-11,315566.0,324710.9638671875
2016-10-12,317391.0,315568.4794096947
2016-10-13,310616.0,320023.6071777344
2016-10-14,305250.0,305133.2587890625
2016-10-15,281916.0,284717.77734375
2016-10-16,278563.0,273732.0009765625
2016-10-17,331368.0,316280.90625
2016-10-18,336925.0,333825.2180175781
2016-10-19,338136.0,328107.5498046875
2016-10-20,326810.0,336040.24072265625
2016-10-21,310779.0,313267.7138671875
2016-10-22,287976.0,289946.341796875
2016-10-23,283301.0,286826.6280517578
2016-10-24,307551.0,320399.12109375
2016-10-25,321346.0,310637.9548339844
2016-10-26,324548.0,322447.26220703125
2016-10-27,320289.0,325339.6936035156
2016-10-28,313778.0,313979.77099609375
2016-10-29,291222.0,294401.248046875
2016-10-30,277001.0,284945.4140625
2016-10-31,310822.0,310830.29296875
2016-11-01,319728.0,316813.76025390625
2016-11-02,319618.0,322755.62109375
2016-11-03,314754.0,323528.6052246094
2016-11-04,307366.0,314571.0787200928
2016-11-05,294282.0,296179.5849609375
2016-11-06,300132.0,292006.9221191406
2016-11-07,322081.0,326193.34765625
2016-11-08,324311.0,319808.8916015625
2016-11-09,326620.0,323041.9747314453
2016-11-10,339826.0,329581.7824707031
2016-11-11,328356.0,335575.14111328125
2016-11-12,317050.0,318301.939453125
2016-11-13,318950.0,317061.28778362274
2016-11-14,351377.0,344273.51953125
2016-11-15,346245.0,347213.81787109375
2016-11-16,336223.0,338978.703125
2016-11-17,334426.0,333585.345703125
2016-11-18,322851.0,323836.98828125
