date,truth,gru_pred
2016-12-28,357566.0,358125.53125
2016-12-29,356271.0,365213.26220703125
2016-12-30,374018.0,352280.3525390625
2016-12-31,359505.0,364465.310546875
2017-01-01,313746.0,344634.5029296875
2017-01-02,323486.0,332590.146484375
2017-01-03,346960.0,373948.5703125
2017-01-04,375407.0,361137.482421875
2017-01-05,434529.0,408864.52734375
2017-01-06,448984.0,433242.77209472656
2017-01-07,449971.0,417931.13671875
2017-01-08,454685.0,435312.462890625
2017-01-09,470170.0,463777.6416015625
2017-01-10,418391.0,430850.64453125
2017-01-11,373521.0,405011.755859375
2017-01-12,345408.0,409436.40234375
2017-01-13,362732.0,367168.271484375
2017-01-14,353356.0,363879.18103027344
2017-01-15,339578.0,353143.5332183838
2017-01-16,366121.0,377943.28125
2017-01-17,350650.0,377228.7216796875
2017-01-18,354859.0,367141.064453125
2017-01-19,365190.0,369173.8876953125
2017-01-20,347073.0,363006.4345703125
2017-01-21,309393.0,325427.84765625
2017-01-22,295093.0,308145.43103027344
2017-01-23,346275.0,337954.82421875
2017-01-24,363668.0,370044.822265625
2017-01-25,356699.0,369894.52490234375
2017-01-26,371210.0,366612.4638671875
2017-01-27,401521.0,378967.50146484375
2017-01-28,374646.0,390760.1650390625
2017-01-29,362073.0,364244.859375
2017-01-30,412152.0,387666.228515625
2017-01-31,393704.0,423128.0546875
2017-02-01,370693.0,394260.70666503906
2017-02-02,386991.0,380628.5751953125
2017-02-03,413014.0,392760.9296875
2017-02-04,400462.0,401543.5458984375
2017-02-05,347857.0,371579.298828125
2017-02-06,363434.0,375838.568359375
2017-02-07,337230.0,363925.14584350586
2017-02-08,343832.0,344564.60107421875
2017-02-09,405701.0,374487.53515625
2017-02-10,419127.0,418996.8505859375
2017-02-11,328529.0,364473.88671875
2017-02-12,297811.0,291760.1015625
2017-02-13,364047.0,360216.828125
2017-02-14,372826.0,394115.228515625
2017-02-15,375118.0,371512.7468261719
2017-02-16,392742.0,386636.408203125
2017-02-17,355436.0,392148.94885253906
2017-02-18,307777.0,307863.1484375
2017-02-19,292549.0,306129.7481689453
2017-02-20,335623.0,332905.36328125
2017-02-21,329349.0,378237.09375
2017-02-22,325986.0,333844.7294921875
2017-02-23,322496.0,335016.6787109375
2017-02-24,314679.0,323492.5950317383
2017-02-25,307855.0,305419.8154296875
2017-02-26,331959.0,316135.3154296875
2017-02-27,360988.0,367054.63671875
2017-02-28,351229.0,360375.6244506836
2017-03-01,323502.0,345749.6240234375
2017-03-02,363024.0,344067.28515625
2017-03-03,383378.0,374277.4814453125
2017-03-04,365088.0,362220.830078125
2017-03-05,334128.0,344760.89453125
2017-03-06,347941.0,353465.36328125
2017-03-07,336318.0,348110.20137023926
2017-03-08,337121.0,337299.5168457031
2017-03-09,338102.0,347981.3994140625
2017-03-10,356503.0,319537.212890625
2017-03-11,364775.0,343498.966796875
2017-03-12,338297.0,354385.0810546875
2017-03-13,390773.0,364405.986328125
2017-03-14,411768.0,387670.6008300781
2017-03-15,441180.0,410956.0237426758
2017-03-16,410804.0,429646.2763671875
2017-03-17,404742.0,363630.76953125
2017-03-18,337890.0,364903.7421875
2017-03-19,326664.0,318464.666015625
2017-03-20,365447.0,365137.14453125
2017-03-21,337603.0,363863.5964355469
2017-03-22,352558.0,334005.56640625
2017-03-23,368283.0,362950.16796875
2017-03-24,327640.0,335194.50390625
2017-03-25,282371.0,277652.69140625
2017-03-26,278566.0,279424.5622558594
2017-03-27,315108.0,330951.55078125
2017-03-28,319747.0,331359.6064453125
2017-03-29,321696.0,324794.6904296875
2017-03-30,326227.0,325102.4812011719
2017-03-31,320400.0,321507.146484375
2017-04-01,301661.0,302799.90234375
2017-04-02,288970.0,300828.91986083984
2017-04-03,321152.0,325225.640625
2017-04-04,318406.0,334154.2255859375
2017-04-05,321238.0,320543.10009765625
2017-04-06,332395.0,329619.4833984375
2017-04-07,353238.0,341823.755859375
2017-04-08,309547.0,334015.654296875
2017-04-09,285841.0,281409.650390625
2017-04-10,315282.0,319616.97265625
2017-04-11,316301.0,319747.97265625
2017-04-12,311224.0,317216.00469970703
2017-04-13,312043.0,314096.4865722656
2017-04-14,292669.0,307574.9052734375
2017-04-15,278843.0,266852.666015625
2017-04-16,273607.0,277735.4909667969
2017-04-17,310937.0,312049.38671875
2017-04-18,314165.0,319453.4833984375
2017-04-19,318416.0,316361.2644042969
2017-04-20,330834.0,320601.8605957031
2017-04-21,313618.0,322706.498046875
2017-04-22,284761.0,282813.830078125
2017-04-23,279849.0,283658.8231201172
2017-04-24,315361.0,316234.75390625
2017-04-25,317878.0,326407.4951171875
2017-04-26,327966.0,319375.18603515625
2017-04-27,320067.0,333059.7646484375
2017-04-28,312725.0,309440.408203125
2017-04-29,299276.0,286782.62890625
2017-04-30,301326.0,295530.3425292969
2017-05-01,319152.0,340126.50390625
2017-05-02,303699.0,326293.7099609375
2017-05-03,303434.0,305869.62646484375
2017-05-04,310316.0,306025.3386230469
2017-05-05,311426.0,301323.9716796875
2017-05-06,285119.0,289785.767578125
2017-05-07,277479.0,278461.43359375
2017-05-08,319093.0,320757.359375
2017-05-09,321703.0,326504.037109375
2017-05-10,321062.0,320227.76037597656
2017-05-11,321147.0,320488.14611816406
2017-05-12,307128.0,308972.59765625
2017-05-13,281278.0,278715.36328125
2017-05-14,275728.0,276342.96533203125
2017-05-15,320359.0,315884.12890625
2017-05-16,343501.0,329042.1708984375
2017-05-17,366210.0,347143.3513183594
2017-05-18,373616.0,364793.9460449219
2017-05-19,349806.0,339396.4453125
2017-05-20,310297.0,305351.34765625
2017-05-21,290532.0,299763.1416015625
2017-05-22,317686.0,330566.32421875
2017-05-23,318452.0,330070.6416015625
2017-05-24,316618.0,323245.10009765625
2017-05-25,315618.0,318389.4256591797
2017-05-26,313804.0,307923.8076171875
2017-05-27,296762.0,285591.353515625
2017-05-28,289032.0,291955.23486328125
2017-05-29,298335.0,319516.455078125
2017-05-30,336130.0,355447.7890625
2017-05-31,332559.0,344801.4853515625
2017-06-01,333187.0,328918.97119140625
2017-06-02,334701.0,330582.0725097656
2017-06-03,316653.0,320126.2861328125
2017-06-04,322109.0,323584.08837890625
2017-06-05,350677.0,374238.89453125
2017-06-06,329621.0,356155.412109375
2017-06-07,313472.0,330118.90811157227
2017-06-08,323411.0,317705.763671875
2017-06-09,331719.0,324438.8446044922
2017-06-10,331600.0,308273.759765625
2017-06-11,346270.0,328258.5710449219
2017-06-12,404897.0,386298.80859375
2017-06-13,403566.0,411798.974609375
2017-06-14,393390.0,394208.9453125
2017-06-15,396435.0,394368.91052246094
2017-06-16,392548.0,373146.66015625
2017-06-17,374074.0,355702.55078125
2017-06-18,363425.0,361647.2978515625
2017-06-19,365554.0,382452.880859375
2017-06-20,353230.0,354913.3837890625
2017-06-21,369285.0,352557.98767089844
2017-06-22,392204.0,378294.6865234375
2017-06-23,373786.0,371244.650390625
2017-06-24,331467.0,325135.4140625
2017-06-25,301469.0,323768.39697265625
2017-06-26,324014.0,338797.41796875
2017-06-27,326931.0,339536.5205078125
2017-06-28,334595.0,334341.18994140625
2017-06-29,376990.0,347073.3662109375
2017-06-30,388870.0,376116.31115722656
2017-07-01,354699.0,345489.75390625
2017-07-02,346142.0,332779.20703125
2017-07-03,360846.0,379826.5078125
2017-07-04,342395.0,371340.9599609375
2017-07-05,375381.0,384384.15234375
2017-07-06,377448.0,394009.87109375
2017-07-07,369223.0,368736.8876953125
2017-07-08,330853.0,340913.388671875
2017-07-09,322366.0,324622.22998046875
2017-07-10,366140.0,374467.359375
2017-07-11,390406.0,384185.48828125
2017-07-12,409691.0,388770.86560058594
2017-07-13,408683.0,408842.6719970703
2017-07-14,402333.0,383821.287109375
2017-07-15,355794.0,363524.57421875
2017-07-16,348308.0,350969.982421875
2017-07-17,396291.0,405489.2734375
2017-07-18,415077.0,403446.439453125
2017-07-19,427281.0,417557.01953125
2017-07-20,430463.0,428547.9324951172
2017-07-21,423681.0,412156.126953125
2017-07-22,392836.0,382094.11328125
2017-07-23,369685.0,373129.7734375
2017-07-24,392240.0,401681.04296875
2017-07-25,372036.0,387883.478515625
2017-07-26,378975.0,376193.4716796875
2017-07-27,383108.0,390787.6708984375
2017-07-28,374735.0,378080.91796875
2017-07-29,322949.0,329402.265625
2017-07-30,327174.0,307580.3505859375
2017-07-31,382389.0,370641.23046875
2017-08-01,387813.0,402587.990234375
2017-08-02,389795.0,391438.14208984375
2017-08-03,392999.0,390269.6382751465
2017-08-04,364607.0,378626.123046875
2017-08-05,309570.0,315136.39453125
2017-08-06,297737.0,298139.373046875
2017-08-07,340310.0,349472.44921875
2017-08-08,354050.0,351175.3076171875
2017-08-09,358806.0,359547.29052734375
2017-08-10,359963.0,365855.51220703125
2017-08-11,368152.0,359489.026763916
2017-08-12,338436.0,340686.248046875
2017-08-13,326801.0,320194.44921875
2017-08-14,370415.0,369970.96875
2017-08-15,397129.0,379542.7470703125
2017-08-16,407378.0,398090.69451904297
2017-08-17,417209.0,406933.8066711426
2017-08-18,404572.0,382621.29296875
2017-08-19,359065.0,344676.90234375
2017-08-20,359564.0,336900.5703125
2017-08-21,415084.0,403165.22265625
2017-08-22,407347.0,419157.54150390625
2017-08-23,370258.0,376361.123046875
2017-08-24,343708.0,360542.2001953125
2017-08-25,331714.0,334905.6396484375
2017-08-26,307187.0,307767.548828125
2017-08-27,306649.0,307265.2926712036
2017-08-28,343347.0,359973.28515625
2017-08-29,351154.0,349798.81396484375
2017-08-30,356557.0,354572.3503417969
2017-08-31,352758.0,360823.51806640625
2017-09-01,316908.0,345856.9677734375
2017-09-02,277547.0,284401.107421875
2017-09-03,281766.0,271289.1962890625
2017-09-04,308542.0,311912.908203125
2017-09-05,338661.0,352733.7421875
2017-09-06,314563.0,341629.7072753906
2017-09-07,313770.0,314673.4422836304
2017-09-08,311672.0,314135.3020629883
2017-09-09,285702.0,285283.765625
2017-09-10,275496.0,280645.09423828125
2017-09-11,312959.0,316578.26171875
2017-09-12,322822.0,319245.88916015625
2017-09-13,329364.0,323834.10150146484
2017-09-14,329840.0,330213.7913208008
2017-09-15,333548.0,320566.03515625
2017-09-16,318927.0,305662.533203125
2017-09-17,317927.0,309862.642578125
2017-09-18,357343.0,353877.6328125
2017-09-19,356169.0,360593.28466796875
2017-09-20,371577.0,347952.2255859375
2017-09-21,388488.0,367780.34912109375
2017-09-22,387270.0,368148.953125
2017-09-23,357117.0,342748.1171875
2017-09-24,343973.0,337808.181640625
2017-09-25,384273.0,361691.203125
2017-09-26,389731.0,383715.8854370117
2017-09-27,381639.0,382782.39404296875
2017-09-28,341527.0,364636.52734375
2017-09-29,316200.0,307954.3125
2017-09-30,279956.0,281269.78125
2017-10-01,273102.0,276084.4064941406
2017-10-02,316188.0,311300.51953125
2017-10-03,331339.0,331539.7578125
2017-10-04,341210.0,340883.5029296875
2017-10-05,335703.0,350153.3388671875
2017-10-06,328544.0,330892.060546875
2017-10-07,315878.0,309591.380859375
2017-10-08,301889.0,304012.5546875
2017-10-09,351840.0,328945.376953125
2017-10-10,351766.0,375519.103515625
2017-10-11,344606.0,349696.5654296875
2017-10-12,321690.0,344059.4020385742
2017-10-13,317871.0,314662.3046875
2017-10-14,299371.0,301647.97265625
2017-10-15,294509.0,291609.7490234375
2017-10-16,312040.0,329446.62109375
2017-10-17,322774.0,320555.640625
2017-10-18,325216.0,326887.1533203125
2017-10-19,319459.0,325929.20959472656
2017-10-20,315150.0,312263.52685546875
2017-10-21,287408.0,292219.998046875
2017-10-22,280393.0,279300.4169921875
2017-10-23,313133.0,319483.921875
2017-10-24,313445.0,321140.87744140625
2017-10-25,324324.0,317678.765625
2017-10-26,331667.0,327727.6552734375
2017-10-27,323498.0,323825.708984375
2017-10-28,305372.0,291880.56640625
2017-10-29,315250.0,299853.68310546875
