model,RMSE,MAE,MAPE,R2,training_time,params
LSTM (Differencing),14866.311922164989,10919.085056436292,3.043692985429423,0.880356486012599,58.6676561832428,96065
GRU (Differencing),14937.070289719344,11163.515570463229,3.116450564418444,0.8792148542701944,67.44011425971985,72833
CNN-LSTM (Differencing),14743.614157558362,11192.94886915086,3.1284843245227707,0.88232326994646,84.90851402282715,98369
